name,category,subcategory,mrp,dmart_price,unit
Pond's Bright Beauty Spot-Less Glow Facewash : 200 gms,Gardening,pot,,452.0,200 g
Mamaearth Onion & Plant Keratin Shampoo : 600 ml,Gardening,plant,,839.0,600 ml
WOW Red Onion Black Seed Oil Shampoo : 500 ml,Gardening,seed,,605.0,500 ml
WOW Onion Black Seed Hair Oil : 200 ml,Gardening,seed,,599.0,200 ml
Nivea Men Dark Spot Reduction Face Wash : 100 gms,Gardening,pot,,249.0,100 g
Engage Nature French Garden Women Deo Spray : 150 ml,Gardening,garden,,249.0,150 ml
Yoga Bar Multigrain Energy Bar - Nuts & Seeds : 38 gms,Gardening,seed,,50.0,38 g
RiteBite Fruit & Seeds Snack Bar : 35 gms,Gardening,seed,,45.0,35 g
RiteBite Nuts & Seeds Snack Bar : 35 gms,Gardening,seed,,45.0,35 g
