name,category,subcategory,mrp,dmart_price,unit
Nykaa Sandalwood & Orange Peel De-tanning Face Wash : 100 ml,Footwear,sandal,,159.0,100 ml
Godrej No. 1 Sandal & Turmeric Soap : 3x150 gms,Footwear,sandal,,185.0,150 g
Mysore Sandal Gold Soap : 125 gms,Footwear,sandal,,90.0,125 g
Khadi Natural Sandalwood Soap : 125 gms,Footwear,sandal,,90.0,125 g
Santoor Sandal and Almond Milk Soap : 4x125 gms,Footwear,sandal,,209.0,125 g
Santoor Royal Sandal Soap : 3x125 gms,Footwear,sandal,,210.0,125 g
Santoor Sandal & Turmeric Soap : 150 gms,Footwear,sandal,,57.0,150 g
Grace Sandalwood Perfume Talc : 200 gms,Footwear,sandal,,115.0,200 g
Santoor Classic Sandalwood & Tulsi Handwash : 200 ml,Footwear,sandal,,99.0,200 ml
