product_id,title,brand,description,category_main,category_sub,price_mrp,price_selling,discount_percentage,discount_amount,quantity,unit,unit_price,stock_count,is_available,is_emergency,status,image_url,product_url,created_at,updated_at
,Elegant Weavers Lucky Bathmat (Grey) - 38x58 cm : 1 Unit,,,Personal Care & Beauty,bath,120.0,120.0,21.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/elegant-weavers-lucky-bathmat---brown-pdoormats0eleg3xx260819?selectedProd=564001,,,0.0,False,False
,Elegant Weavers Lucky Bathmat (Brown) - 38x58 cm : 1 Unit,,,Personal Care & Beauty,bath,120.0,120.0,21.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/elegant-weavers-lucky-bathmat---brown-pdoormats0eleg3xx260819?selectedProd=564002,,,0.0,False,False
,Elegant Weavers Lucky Bathmat (Maroon) - 38x58 cm : 1 Unit,,,Personal Care & Beauty,bath,120.0,120.0,21.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/elegant-weavers-lucky-bathmat---brown-pdoormats0eleg3xx260819?selectedProd=564003,,,0.0,False,False
,Elegant Weavers Stripe Bathmat (Brown) - 40x60 cm : 1 Unit,,,Personal Care & Beauty,bath,125.0,125.0,26.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/ew-stripe-bathmat---brown-pdoormats0eleg39xx270220?selectedProd=671016,,,0.0,False,False
,Elegant Weavers Cotton Oval Bathmat - Red (38X58 cm) : 1 Unit,,,Personal Care & Beauty,bath,150.0,150.0,71.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/-elegant-weavers-cotton-oval-bathmat---red-pdoormats0eleg5xx201023?selectedProd=1363508,,,0.0,False,False
,Elegant Weavers Cotton Rectangle Bathmat - Multicolour : 38 X 58 cm,,,Personal Care & Beauty,bath,100.0,100.0,51.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/-elegant-weavers-cotton-ractangle-bathmat---multicolour--pdoormats0eleg3xx201023?selectedProd=1363507,,,0.0,False,False
,Elegant Weavers Shine Bathmat (Brown) - 40x60 cm : 1 Unit,,,Personal Care & Beauty,bath,200.0,200.0,41.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/ew-m0624-bathmat---brown-pdoormats0eleg41xx270220?selectedProd=671017,,,0.0,False,False
,Elegant Weavers Shine Bathmat (Grey) - 40x 60 cm : 1 Unit,,,Personal Care & Beauty,bath,200.0,200.0,41.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/ew-m0624-bathmat---brown-pdoormats0eleg41xx270220?selectedProd=671018,,,0.0,False,False
,Elegant Weavers Shine Bathmat (Silver) - 40x60 cm : 1 Unit,,,Personal Care & Beauty,bath,200.0,200.0,41.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/ew-m0624-bathmat---brown-pdoormats0eleg41xx270220?selectedProd=671019,,,0.0,False,False
,Elegant Weavers Rally Bathmat 38x58 cm - Assorted : Pack of 3,,,Personal Care & Beauty,bath,250.0,250.0,61.0,0.0,,63.0,0.0,,,https://www.dmart.in/product/ew-rally-bathmat-38x58-cms-pdoormats0eleg35xx270220?selectedProd=671014,,,0.0,False,False
