name,category,subcategory
GM Cuba Power Strip USB Type C&A - Grey : 1 Unit,,
Portronics Smart Gadget Cleaning Kit - White : 1 Unit,Smart Home,Smart Devices
GM Cuba G-Hoop 4+1 Power Strip With USB - White : 1 Unit,,
Mobilla Mcharge (733) Travel Charger with Type-C Cable - White : 1 Unit,,
Goodyear Wire Stripper & Cutter : 1 Unit,,
Micro USB Charging Cable (1 Metre) : 1 Unit,,
Zebronics Car Charger - CC242A3 : 1 Unit,,
Mobilla Mcharge (735) Travel Charger - White : 1 Unit,,
Kent Storm Vacuum Cleaner (116134) : 600 W,,
Midea Vertical Vacuum Cleaner MT2INRE - 600 W : 1 Unit,,
Agaro Regal Hand Held Vacuum Cleaner - 800 W : 1 Unit,,
Midea Canister Bagged Vacuum Cleaner M11SINBL - 1400 W : 1 Unit,,
Jaipan Prince Mixer & Grinder - 850 W (Green) 3 Jars : 1 Unit,,
Pigeon Eva Mixer Grinder 750 W - 3 Jars : 1 Unit,,
Jaipan Breeza Mixer Grinder - 550 Watts : 3 Jars,,
Bajaj Mixer Grinder Tornado (550 W) - 3 Jars : 1 Unit,,
Bajaj Mixer Grinder - GX4 - 500 W : 3 Jars,,
Balzano High Speed Nutri-Pro Bullet Powerful Mixer Grinder - Silver : 500 W,,
Preethi Peppy 3 Jar Mixer Grinder : 750 Watts,,
Wonderchef Vietri Mixer Grinder Blue - 500 W : 3 Jars,,
Kent Hand Blender (116044) - Silver : 400 W,,
Jaipan Portable Blender 200W - White : 1 Unit,,
Wonderchef Nutri-Blend Mixer - Black : 400 W,,
Crystal Xpress Handy Juicer 2 In 1 : 1 Unit,,
Wonderchef Nutri-Blend Mixer With - 400 W (Red) 3 Jars  : 1 Unit,,
Wonderchef Nutri Cup Portable USB Charging Blender (Blue) - 300 ml : 1 Unit,,
Prestige Ace Hand Blender - 250 W : 1 Unit,,
Agaro Royal Milk Frother - 3 Speed Electric Frother : 1 Unit,Grocery & Food,Dairy & Eggs
Wonderchef Nutri-blend Black with Jar,,
Pigeon Digital Healthifry Air Fryer (Green) - 4.2 Litres : 1200 W,,
Pigeon Induction Cooktop Acer Plus : 1800 W,,
Prestige Induction Cooktop PIC 16.0 Plus : 1900 W,,
