name,category,sub-category,price,unit,image,status,stock_count
Organic Tattva Urad Dal Whole White : 500 gms,,Dals & Pulses,175,500 g,/api/placeholder/200/200,active,100
Emperor Dates Iranian Muzafati : 400 gms,,Dry Fruits,200,400 g,/api/placeholder/200/200,active,100
Emperor Royal Peacock Seeded Dates (Khajur) : 500 gms,,Dry Fruits,130,500 g,/api/placeholder/200/200,active,100
Parry's Urad Dal Whole : 1 kg,,Dals & Pulses,210,1 kg,/api/placeholder/200/200,active,100
Apis Classic Dates : 500 gms,,Dry Fruits,180,500 g,/api/placeholder/200/200,active,100
Tenali Double Horse Urad Dal (Minapa Pappu) : 500 gm,,Dals & Pulses,98,500 g,/api/placeholder/200/200,active,100
Emperor Dates - Deseeded Dates : 500 gms,,Dry Fruits,150,500 g,/api/placeholder/200/200,active,100
Gulf Finest Classic Dates : 500 gm,,Dry Fruits,162,500 g,/api/placeholder/200/200,active,100
Emperor Dates - Dates with Seed : 500 gms,,Dry Fruits,110,500 g,/api/placeholder/200/200,active,100
Lion Layina Seeded Dates : 500 gms,,Dry Fruits,114,500 g,/api/placeholder/200/200,active,100
Organic Tattva Urad Dal White Split : 500 gms,,Dals & Pulses,170,500 g,/api/placeholder/200/200,active,100
Royal Crown Hand Picked Mazafati Dates : 500 gm,,Dry Fruits,261,500 g,/api/placeholder/200/200,active,100
VSR Urad Wash Gota (Minapa pappu) : 1 kg,,Dry Fruits,209,1 kg,/api/placeholder/200/200,active,100
Gulf Zahidi Dates : 500 gm,,Dry Fruits,162,500 g,/api/placeholder/200/200,active,100
Ziofit Clasic Seedless Sultan Dates : 500 gms,,Dry Fruits,265,500 g,/api/placeholder/200/200,active,100
VSR Urad Dal (Minapa pappu) : 1 kg,,Dals & Pulses,202,1 kg,/api/placeholder/200/200,active,100
24 Mantra Organic Urad Dal White Whole (Minapa pappu) : 500 gms,,Dals & Pulses,175,500 g,/api/placeholder/200/200,active,100
Pro Nature 100% Organic Kabuli Chana : 500 gm,,Flours & Grains,196,500 g,/api/placeholder/200/200,active,100
Apis Deseeded Dates : 500 gms,,Dry Fruits,145,500 g,/api/placeholder/200/200,active,100
Apis Arabian Pearls Fard Dates : 500 gms,,Dry Fruits,249,500 g,/api/placeholder/200/200,active,100
VSR Urad Dal (Minapa pappu) : 500 gms,,Dals & Pulses,98,500 g,/api/placeholder/200/200,active,100
24 Mantra Organic Urad Black Dal Whole (Minapa pappu) : 500 gms,,Dals & Pulses,175,500 g,/api/placeholder/200/200,active,100
24 Mantra Organic Urad Dal White Split (Minapa pappu) : 500 gms,,Dals & Pulses,175,500 g,/api/placeholder/200/200,active,100
Apis Select Dates : 500 gms,,Dry Fruits,299,500 g,/api/placeholder/200/200,active,100
Tenali Double Horse Black Gram Rounds : 1 kg,,Dals & Pulses,170,1 kg,/api/placeholder/200/200,active,100
Lion Dates : 500 gms,,Dry Fruits,136,500 g,/api/placeholder/200/200,active,100
,,,,,,,
,,,,,,,
Mahafruit Long Seedless Kishmish : 500 gms,,Dals & Pulses,199,500 g,/api/placeholder/200/200,active,100
Happilo Afghani Seedless Black Raisins : 250 gms,,Dry Fruits,315,250 g,/api/placeholder/200/200,active,100
Happilo Seedless Green Raisins : 250 gms,,Dry Fruits,165,250 g,/api/placeholder/200/200,active,100
Pro Nature 100% Organic Kala Channa : 500 gm,,Dals & Pulses,119,500 g,/api/placeholder/200/200,active,100
Organic Tattva Masoor Malka Split : 500 gms,,Flours & Grains,140,500 g,/api/placeholder/200/200,active,100
Nutraj Daily Walnut Kernels : 500 gms,,Dals & Pulses,899,500 g,/api/placeholder/200/200,active,100
Tenali Double Horse Urad Gota : 1 kg,,Dals & Pulses,215,1 kg,/api/placeholder/200/200,active,100
Daliya: 500 gm,,Dals & Pulses,110,500 g,/api/placeholder/200/200,active,100
Nutraj California Walnut Kernels (Akrod Magaj) : 250 gms,,Dals & Pulses,499,250 g,/api/placeholder/200/200,active,100
Nutraj California Whole Walnut (Akrod) : 1 kg,,Dals & Pulses,999,,/api/placeholder/200/200,active,100
,,,,,,,
,,,,,,,
Nutraj Kashmir Walnut Kernels : 250 gms,,Dals & Pulses,399,250 g,/api/placeholder/200/200,active,100
Ziofit California Walnut Kernels : 200 gms,,Dals & Pulses,585,200 g,/api/placeholder/200/200,active,100
Pro Nature 100% Organic Daliya (Broken Wheat) : 500 gm,,Dals & Pulses,72,500 g,/api/placeholder/200/200,active,100
Pro Nature Organic Urad Black Whole : 500 g,,Masala & Spices,149,500 g,/api/placeholder/200/200,active,100
,,,,,,,
Mix Dal : 1 kg,,Dals & Pulses,200,1 kg,/api/placeholder/200/200,active,100
,,,,,,,
,,,,,,,
,,,,,,,
Farmley Panchmeva Mix Dryfruit : 425 gm,,Flours & Grains,599,425 g,/api/placeholder/200/200,active,100
,,,,,,,
Farmley Berry Mix : 200 g,,Grocery,349,200 g,/api/placeholder/200/200,active,100
Farmley Seed Mix : 200 g,,Grocery,229,200 g,/api/placeholder/200/200,active,100
Farmley Snack Mix Mexican Peri-Peri : 405 g,,Dals & Pulses,499,405 g,/api/placeholder/200/200,active,100
Farmley Trail Mix : 200 g,,Cooking Oil,349,200 g,/api/placeholder/200/200,active,100
,,,,,,,
,,,,,,,
,,,,,,,
Happilo Healthy Nutmix : 350 gms,,Flours & Grains,599,350 g,/api/placeholder/200/200,active,100
,,,,,,,
,,,,,,,
Farmley Prasadam Makhana Pouch : 200 gms,,Dals & Pulses,595,,/api/placeholder/200/200,active,100
Farmley Himalayan Salted Makhana Jar : 83 gms,,Salt/Sugar/Jaggery,259,83 g,/api/placeholder/200/200,active,100
,,,,,,,
Farmley Peri Peri Makhana Jar : 83 gms,,Masala & Spices,259,83 g,/api/placeholder/200/200,active,100
,,,,,,,
Farmley Cream & Onion Makhana Jar : 83 gms,,Cooking Oil,259,83 g,/api/placeholder/200/200,active,100
Mix Pulse (Sprout) : 500 gms,,Dals & Pulses,95,500 g,/api/placeholder/200/200,active,100
,,,,,,,
Farmley Minty Pudina Makhana Jar : 83 gms,,Dals & Pulses,259,83 g,/api/placeholder/200/200,active,100
Farmley Cheese & Herbs Makhana : 83 gm,,Ghee & Vanaspati,259,83 g,/api/placeholder/200/200,active,100
Khetika Naturale Raw Makhana : 250 g,,Grocery,449,250 g,/api/placeholder/200/200,active,100
Nutraj Dried Figs (Anjeer) : 500 gms,,Rice & Rice Products,899,500 g,/api/placeholder/200/200,active,100
Healthy Crunch Anjeer (Figs) : 250 gms,,Flours & Grains,375,250 g,/api/placeholder/200/200,active,100
,,,,,,,
Organic Tattva Groundnuts (Peanuts) : 500 gms,,Flours & Grains,185,500 g,/api/placeholder/200/200,active,100
VSR Raw Peanut (Veru Senega/Palleelu) : 1 kg,,Dals & Pulses,238,1 kg,/api/placeholder/200/200,active,100
VSR Raw Peanut (Veru Senega/Palleelu) : 500 gms,,Dals & Pulses,120,500 g,/api/placeholder/200/200,active,100
Pro Nature Organic Raw Peanuts : 1 kg,,Masala & Spices,336,1 kg,/api/placeholder/200/200,active,100
Pro Nature 100% Organic Raw Peanuts : 500 gm,,Dry Fruits,174,500 g,/api/placeholder/200/200,active,100
,,,,,,,
,,,,,,,
,,,,,,,
Jaggery : 900 gms,,Salt/Sugar/Jaggery,90,900 g,/api/placeholder/200/200,active,100
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Keshar Natural Jaggery Jar : 800 gms,,Salt/Sugar/Jaggery,125,800 g,/api/placeholder/200/200,active,100
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Cassia Taj (Dalchina chekka) : 100 gms,,Dals & Pulses,93,100 g,/api/placeholder/200/200,active,100
Mamra - Puffed Rice (Murmuralu) : 500 gms,,Rice & Rice Products,60,500 g,/api/placeholder/200/200,active,100
,,,,,,,
Jaggery : 900 gms,,Salt/Sugar/Jaggery,90,900 g,/api/placeholder/200/200,active,100
,,,,,,,
,,,,,,,
Farmley Cream & Onion Makhana Jar : 83 gms,,Cooking Oil,259,83 g,/api/placeholder/200/200,active,100
Mix Pulse (Sprout) : 500 gms,,Dals & Pulses,95,500 g,/api/placeholder/200/200,active,100
,,,,,,,
Farmley Minty Pudina Makhana Jar : 83 gms,,Dals & Pulses,259,83 g,/api/placeholder/200/200,active,100
Farmley Cheese & Herbs Makhana : 83 gm,,Ghee & Vanaspati,259,83 g,/api/placeholder/200/200,active,100
Khetika Naturale Raw Makhana : 250 g,,Grocery,449,250 g,/api/placeholder/200/200,active,100
Nutraj Dried Figs (Anjeer) : 500 gms,,Rice & Rice Products,899,500 g,/api/placeholder/200/200,active,100
Healthy Crunch Anjeer (Figs) : 250 gms,,Flours & Grains,375,250 g,/api/placeholder/200/200,active,100
,,,,,,,
Organic Tattva Groundnuts (Peanuts) : 500 gms,,Flours & Grains,185,500 g,/api/placeholder/200/200,active,100
VSR Raw Peanut (Veru Senega/Palleelu) : 1 kg,,Dals & Pulses,238,1 kg,/api/placeholder/200/200,active,100
VSR Raw Peanut (Veru Senega/Palleelu) : 500 gms,,Dals & Pulses,120,500 g,/api/placeholder/200/200,active,100
Pro Nature Organic Raw Peanuts : 1 kg,,Masala & Spices,336,1 kg,/api/placeholder/200/200,active,100
Pro Nature 100% Organic Raw Peanuts : 500 gm,,Dry Fruits,174,500 g,/api/placeholder/200/200,active,100
,,,,,,,
,,,,,,,
,,,,,,,
Jaggery : 900 gms,,Salt/Sugar/Jaggery,90,900 g,/api/placeholder/200/200,active,100
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Keshar Natural Jaggery Jar : 800 gms,,Salt/Sugar/Jaggery,125,800 g,/api/placeholder/200/200,active,100
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Cassia Taj (Dalchina chekka) : 100 gms,,Dals & Pulses,93,100 g,/api/placeholder/200/200,active,100
Mamra - Puffed Rice (Murmuralu) : 500 gms,,Rice & Rice Products,60,500 g,/api/placeholder/200/200,active,100
,,,,,,,
Jaggery : 900 gms,,Salt/Sugar/Jaggery,90,900 g,/api/placeholder/200/200,active,100
,,,,,,,
,,,,,,,
Priya Sunflower Oil : 5 Litres,,Cooking Oil,1010,,/api/placeholder/200/200,active,100
Gold Drop Refined Sunflower Oil (2 L) : 1.820 kg,,Cooking Oil,350,820 kg,/api/placeholder/200/200,active,100
Gold Drop Refined Sunflower Oil Tin (15 L),,Cooking Oil,,,/api/placeholder/200/200,active,100
RRO Primio Refined Groundnut Oil : 5 Litres,,Cooking Oil,1275,,/api/placeholder/200/200,active,100
Gramiyaa Wood Cold Pressed Groundnut Oil (1 L) : 910 g,,Cooking Oil,490,910 g,/api/placeholder/200/200,active,100
Vijaya Groundnut Oil : 1 Litre,,Cooking Oil,173,,/api/placeholder/200/200,active,100
Tata Simply Better Cold Pressed Groundnut Oil : 1 L,,Cooking Oil,500,,/api/placeholder/200/200,active,100
Freedom Groundnut Oil : 1 Litre,,Cooking Oil,215,,/api/placeholder/200/200,active,100
Gramiyaa Wood Cold Pressed Coconut Oil : 500 ml,,Cooking Oil,310,500 ml,/api/placeholder/200/200,active,100
As Brand Filtered Groundnut Oil : 1 Litre,,Cooking Oil,180,,/api/placeholder/200/200,active,100
Saffola Gold Oil (1 L) : 910 g,,Cooking Oil,197,910 g,/api/placeholder/200/200,active,100
Saffola Active Oil (15 L) : 13.650 kg,,Cooking Oil,2955,650 kg,/api/placeholder/200/200,active,100
Saffola Tasty Oil : 1 Litre,,Cooking Oil,187,,/api/placeholder/200/200,active,100
Sundrop Heart Oil : 5 Litres,,Cooking Oil,1265,,/api/placeholder/200/200,active,100
Freedom Rice Bran Oil : 1 Litre,,Cooking Oil,194,,/api/placeholder/200/200,active,100
Healthy Heart Refined Rice Bran Oil : 910 gms,,Cooking Oil,185,910 g,/api/placeholder/200/200,active,100
Priya Rice Rich Rice Bran Oil : 1 Litre,,Cooking Oil,210,,/api/placeholder/200/200,active,100
Vijaya Ricebran Oil : 1 Litre,,Cooking Oil,161,,/api/placeholder/200/200,active,100
Patanjali Kachi Ghani Mustard Oil (1 L) : 910 g,,Cooking Oil,190,910 g,/api/placeholder/200/200,active,100
Fortune Kachi Ghani Mustard Oil Bottle (1 L) : 910 g,,Cooking Oil,225,910 g,/api/placeholder/200/200,active,100
Tez Mustard Kachchi Ghani Oil Bottle (1 L) : 910 g,,Cooking Oil,230,910 g,/api/placeholder/200/200,active,100
Tata Simply Better Cold Pressed Mustard Oil : 1 L,,Cooking Oil,350,,/api/placeholder/200/200,active,100
Gramiyaa Wood Cold Pressed Mustard Oil : 1 Litre,,Cooking Oil,490,,/api/placeholder/200/200,active,100
Dabur Cold Pressed Mustard Oil : 910 g,,Cooking Oil,310,910 g,/api/placeholder/200/200,active,100
Ruchi Gold Refined Palmolein Oil : 850 gm,,Cooking Oil,177,850 g,/api/placeholder/200/200,active,100
Borges Olive Oil For Indian Cooking (2 L) : 1.832 kg,,Cooking Oil,4200,832 kg,/api/placeholder/200/200,active,100
Tilsona Til Oil Bottle (1 L) : 915 g,,Cooking Oil,435,915 g,/api/placeholder/200/200,active,100
RRO Til Dil Til Oil Bottle : 1 Litre,,Cooking Oil,415,,/api/placeholder/200/200,active,100
Idhayam Gingelly Oil (1 L) : 914 g,,Cooking Oil,477,914 g,/api/placeholder/200/200,active,100
KLF Coconad 100% Edible Coconut Oil (1 L) : 912 g,,Cooking Oil,375,912 g,/api/placeholder/200/200,active,100
Borges Extra Virgin Olive Oil (1 L) : 916 g,,Cooking Oil,2300,916 g,/api/placeholder/200/200,active,100
Figaro Olive Oil Tin (200 ml) : 182 g,,Cooking Oil,474,182 g,/api/placeholder/200/200,active,100
Figaro Extra Virgin Olive Oil Bottle (250 ml) : 228 g,,Cooking Oil,599,228 g,/api/placeholder/200/200,active,100
Pooja Branded Gingelly Oil : 1 Litre,,Cooking Oil,270,,/api/placeholder/200/200,active,100
As Brand Gingelly Oil : 1 Litre,,Cooking Oil,479,,/api/placeholder/200/200,active,100
Tata Simply Better Cold Pressed Sesame Oil : 1 L,,Cooking Oil,649,,/api/placeholder/200/200,active,100
Vijaya Palm Oil : 1 Litre,,Cooking Oil,167,,/api/placeholder/200/200,active,100
First Klass Refined Palmolein Oil : 850 gms,,Cooking Oil,174,850 g,/api/placeholder/200/200,active,100
KLF Nirmal Coconut Oil Jar : 1 Litre,,Cooking Oil,430,,/api/placeholder/200/200,active,100
Nirmal Virgin Cold Pressed Edible Coconut Oil : 500 ml,,Cooking Oil,420,500 ml,/api/placeholder/200/200,active,100
Cesar Olive Pomace Oil : 1 Litre,,Cooking Oil,1000,,/api/placeholder/200/200,active,100
Nirmal Virgin Cold Pressed Edible Coconut Oil : 250 ml,,Cooking Oil,240,250 ml,/api/placeholder/200/200,active,100
Cesar Olive Pomace Oil : 5 Litres,,Cooking Oil,4600,,/api/placeholder/200/200,active,100
Patanjali Cow Ghee (Neyyi) : 1 Litre,,Ghee & Vanaspati,720,5 g,/api/placeholder/200/200,active,100
Milky Mist Ghee Pouch (1 L) : 910 g,,Ghee & Vanaspati,729,910 g,/api/placeholder/200/200,active,100
Dodla Pure Cow Ghee (Neyyi) : 1 Litre,,Ghee & Vanaspati,760,,/api/placeholder/200/200,active,100
Gits Cow Ghee Jar : 181 g,,Ghee & Vanaspati,169,181 g,/api/placeholder/200/200,active,100
Amul High Aroma Cow Ghee Tin (Neyyi) : 1 Litre,,Ghee & Vanaspati,705,,/api/placeholder/200/200,active,100
Godrej Jersey Cow Ghee Pouch (Neyyi) : 1 Litre,,Ghee & Vanaspati,779,,/api/placeholder/200/200,active,100
Haribol Desi Cow A2 Ghee (Neyyi) : 225 ml,,Ghee & Vanaspati,495,200 g,/api/placeholder/200/200,active,100
Organic India Organic Cow Ghee : 500 ml,,Ghee & Vanaspati,849,500 ml,/api/placeholder/200/200,active,100
Milky Mist Cow Ghee : 1 Litre,,Ghee & Vanaspati,829,,/api/placeholder/200/200,active,100
Vijaya Pure Cow Ghee (Neyyi) : 1 Litre,,Ghee & Vanaspati,690,,/api/placeholder/200/200,active,100
Godrej Jersey Cow Ghee Jar (Neyyi) : 1 Litre,,Ghee & Vanaspati,799,,/api/placeholder/200/200,active,100
Gits Cow Ghee Pouch : 905 g,,Ghee & Vanaspati,699,905 g,/api/placeholder/200/200,active,100
HariBol Desi Gir Cow Ghee : 902 g,,Ghee & Vanaspati,2090,902 g,/api/placeholder/200/200,active,100
Amul Pure Ghee Pouch (Neyyi) : 1 Litre,,Ghee & Vanaspati,635,905 g,/api/placeholder/200/200,active,100
Amul Ghee Refill (Neyyi) : 1 Litre,,Ghee & Vanaspati,635,,/api/placeholder/200/200,active,100
GRB Ghee (Neyyi) : 500 ml,,Ghee & Vanaspati,425,500 ml,/api/placeholder/200/200,active,100
GRB Ghee (Neyyi) : 500 ml,,Ghee & Vanaspati,419,500 ml,/api/placeholder/200/200,active,100
Vijaya Pure Ghee Pouch (Neyyi) : 1 Litre,,Ghee & Vanaspati,690,,/api/placeholder/200/200,active,100
Durga Fresh & Pure Ghee (Neyyi) : 500 ml,,Ghee & Vanaspati,408,500 ml,/api/placeholder/200/200,active,100
Durga Ghee (Neyyi) : 1 Litre,,Ghee & Vanaspati,790,,/api/placeholder/200/200,active,100
Creamline Jersey Ghee (Neyyi) : 1 Litre,,Ghee & Vanaspati,779,,/api/placeholder/200/200,active,100
Dodla Ghee Jar (Neyyi) : 200 ml,,Ghee & Vanaspati,180,200 ml,/api/placeholder/200/200,active,100
Aashirvaad Superior MP Atta (Godhuma pindi) : 10 kgs,,Flours & Grains,638,10 kg,/api/placeholder/200/200,active,100
Patanjali Whole Wheat Atta (Godhuma pindi) : 10 kgs,,Flours & Grains,600,10 kg,/api/placeholder/200/200,active,100
Wheat Flour Chakki Atta : 10 kgs,,Flours & Grains,500,10 kg,/api/placeholder/200/200,active,100
Pillsbury Multi Grain Atta (Godhuma Pindi) : 5 kgs,,Flours & Grains,394,5 kg,/api/placeholder/200/200,active,100
Wheat Flour Chakki Atta (Godhuma pindi) : 5 kgs,,Flours & Grains,250,5 kg,/api/placeholder/200/200,active,100
Pillsbury Sharbati Wheat Gold Atta : 5 kg,,Flours & Grains,372,5 kg,/api/placeholder/200/200,active,100
Organic Tattva Organic Wheat Flour : 5 kgs,,Flours & Grains,399,5 kg,/api/placeholder/200/200,active,100
,,,,,,,
Aashirvaad Organic Whole Wheat Atta : 5 kgs,,Flours & Grains,399,5 kg,/api/placeholder/200/200,active,100
