Title,Category,Subcategory,MRP,DMart Price,Discount,Quantity,Unit Price,Product URL,Is DMart Exclusive
Wildcraft Power Laptop Backpack - Black : 1 Unit,Bags & Accessories,backpack,2998.0,2998.0,1799.0,,,https://www.dmart.in/product/wildcraft-power-laptop-backpack:black-plaptopbags0wild5xx190621?selectedProd=876001,False
F Gear Military Tactical Laptop Backpack - Khaki : 29 Litres,Bags & Accessories,backpack,3180.0,3180.0,1881.0,,,https://www.dmart.in/product/f-gear-military-tactical-laptop-backpack---khaki-pbackpacks0fge5xx90623?selectedProd=1269098,False
F Gear Provost Rain cover Laptop Backpack - Green : 41 Litres,Bags & Accessories,backpack,2580.0,2580.0,1631.0,,,https://www.dmart.in/product/f-gear-provost-rain-cover-laptop-backpack---green-pbackpacks0fge3xx90623?selectedProd=1269097,False
Wildcraft Power Laptop Utility Backpack - Black : 1 Unit,Home Utility & Organisers,utility,2198.0,2198.0,1199.0,,,https://www.dmart.in/product/wildcraft-power-laptop-utility-backpack---black-plaptopbags0wild7xx90822?selectedProd=1111010,False
F Gear Spartan Executive Laptop Backpack - Black : 24 Litres,Bags & Accessories,backpack,1780.0,1780.0,881.0,,,https://www.dmart.in/product/f-gear-spartan-executive-laptop-backpack---black-pbackpacks0fge1xx90623?selectedProd=1269096,False
Aristocrat Classic Laptop Backpack - 28 L (Blue) : 1 Unit,Bags & Accessories,backpack,3400.0,3400.0,1801.0,,,https://www.dmart.in/product/aristocrat-classic-laptop-backpack---blue-pbackpacks0aris11xx301222?selectedProd=1202003,False
Aristocrat Classic Laptop Backpack - 28 L (Brown) : 1 Unit,Bags & Accessories,backpack,3400.0,3400.0,1801.0,,,https://www.dmart.in/product/aristocrat-classic-laptop-backpack---brown-pbackpacks0aris13xx301222?selectedProd=1202004,False
Aristocrat Colin Laptop Backpack - 30 L (Black) : 1 Unit,Bags & Accessories,backpack,3000.0,3000.0,1701.0,,,https://www.dmart.in/product/aristocrat-colin-laptop-backpack---black-pbackpacks0aris17xx301222?selectedProd=1202006,False
Wildcraft Transit 2 Poly Laptop Bag - Grey : 1 Unit,Bags & Accessories,bag,1999.0,1999.0,1020.0,,,https://www.dmart.in/product/wildcraft-transit-2-poly-laptop-bag-(grey)-plaptopbags0wild9xx10124?selectedProd=1449531,False
Skybags Chaser Laptop Backpack (Blue) - 30 L : 1 Unit,Bags & Accessories,bag,4600.0,4600.0,2400.0,,,https://www.dmart.in/product/skybags-chaser-laptop-backpack---blue-pbackpacks0skyb9xx301222?selectedProd=1202002,False
Wildcraft Transit 2 Poly Laptop Bag - Black : 1 Unit,Bags & Accessories,bag,1999.0,1999.0,1020.0,,,https://www.dmart.in/product/wildcraft-transit-2-poly-laptpo-bag-(black)-plaptopbags0wild7xx10124?selectedProd=1449530,False
Skybags Ronan School Backpack  (Assorted) 28 Litres : 1 Unit,Bags & Accessories,bag,2000.0,2000.0,1301.0,,,https://www.dmart.in/product/skybags-ronan-school-backpack----assorted-pbackpacks0skyb1xx110423?selectedProd=986244,False
Wildcraft Wonder Backpack - Ombre Black : 1 Unit,Bags & Accessories,backpack,2498.0,2498.0,1249.0,,,https://www.dmart.in/product/wildcraft-wonder-backpack---ombre-black-plaptopbags0wild3xx90822?selectedProd=1111007,False
Wildcraft Wonder Backpack - Red Spray : 1 Unit,Bags & Accessories,backpack,2498.0,2498.0,1299.0,,,https://www.dmart.in/product/wildcraft-wonder-bacpak-(red-spray)-pbag0wild3xx10124?selectedProd=1449528,False
Wildcraft Wonder Backpack - Chips Black : 1 Unit,Bags & Accessories,backpack,2498.0,2498.0,1299.0,,,https://www.dmart.in/product/wildcraft-wonder-bacpak-(chips-black)-pbag0wild1xx10124?selectedProd=1449527,False
Wildcraft Wonder Advantage Backpack - Red : 1 Unit,Bags & Accessories,backpack,2098.0,2098.0,1099.0,,,https://www.dmart.in/product/wildcraft-wonder-advantage-bacpak-(red)-pbag0wild15xx10124?selectedProd=1454051,False
Priority Hiking Bag : Assorted - 1 Unit,Bags & Accessories,bag,995.0,995.0,296.0,,,https://www.dmart.in/product/prt-priority-hiking-bag---hun-[hs]-(offline)-phikingbags003xx90823?selectedProd=774513,False
F Gear Hunter Rucksack - Black & Grey : 75 Litres,Bags & Accessories,rucksack,3780.0,3780.0,2181.0,,,https://www.dmart.in/product/f-gear-hunter-rucksack---black---grey-pbackpacks0fge9xx90623?selectedProd=1269100,False
F Gear Synthetic Leather Modish Lunch Bag - Black :  11 Litres,Bags & Accessories,bag,998.0,998.0,469.0,,,https://www.dmart.in/product/f-gear-synthetic-leather-modish-lunch-bag---black-pbackpacks0fge7xx90623?selectedProd=1269099,False
Misswish Women's Printed Tote Bag - Green : 1 Unit,Bags & Accessories,bag,900.0,900.0,351.0,,,https://www.dmart.in/product/misswish-womens-printed-tote-bag-green-pdoormats0miss17xx50324?selectedProd=1482070,False
Misswish Women's Printed Tote Bag - Black : 1 Unit,Bags & Accessories,bag,850.0,850.0,351.0,,,https://www.dmart.in/product/misswish-womens-printed-tote-bag-black-pdoormats0miss1xx50324?selectedProd=1482062,False
Misswish Women's Printed Tote Bag - Red : 1 Unit,Bags & Accessories,bag,1200.0,1200.0,601.0,,,https://www.dmart.in/product/misswish-womens-printed-tote-bag-red-pdoormats0miss15xx50324?selectedProd=1482069,False
Misswish Women's Printed Tote Bag - Tidal Wave : 1 Unit,Bags & Accessories,bag,950.0,950.0,401.0,,,https://www.dmart.in/product/misswish-womens-printed-tote-bag-tidal-wave-pdoormats0miss11xx50324?selectedProd=1482067,False
Misswish Women's Printed Tote Bag - Maroon : 1 Unit,Bags & Accessories,bag,900.0,900.0,351.0,,,https://www.dmart.in/product/misswish-womens-printed-tote-bag-maroon-pdoormats0miss3xx50324?selectedProd=1482063,False
Karv Lockable Printed Faux Leather Jewellery Box - Large (Purple) : 1 Unit,Bags & Accessories,jewellery box,650.0,650.0,301.0,,,https://www.dmart.in/product/karv-lockable-printed-faux-leather-jewellery-box-large-(purple)-pothers5xx270924?selectedProd=1639525,False
Karv Lockable Printed Faux Leather Jewellery Box - Large (Green) : 1 Unit,Bags & Accessories,jewellery box,650.0,650.0,301.0,,,https://www.dmart.in/product/karv-lockable-printed-faux-leather-jewellery-box-large-(green)-pothers8xx270924?selectedProd=1639528,False
