product_id,title,brand,description,category_main,category_sub,price_mrp,price_selling,discount_percentage,discount_amount,quantity,unit,unit_price,stock_count,is_available,status,image_url,product_url,created_at,updated_at
,,,,Uncategorized,,860.0,860.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,220.0,220.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,525.0,525.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,990.0,990.0,,,1 Unit,,,False,,,,,,0.0
,,,,Lighting & Electrical,adapter,390.0,390.0,,,1 Unit,,,False,,,,,,0.0
,,,,Lighting & Electrical,adapter,699.0,699.0,,,1 Unit,,,False,,,,,,0.0
,,,,Lighting & Electrical,flex,349.0,349.0,,,4 Metre,,,False,,,,,,0.0
,,,,Uncategorized,,110.0,110.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,3499.0,3499.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,299.0,299.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,499.0,499.0,,,1 Unit,,,False,,,,,,0.0
,,,,Lighting & Electrical,flex,585.0,585.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,699.0,699.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,1020.0,1020.0,,,1 Unit,,,False,,,,,,0.0
,,,,Lighting & Electrical,adapter,204.0,204.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,515.0,515.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,315.0,315.0,,,1 Unit,,,False,,,,,,0.0
,,,,Lighting & Electrical,adapter,599.0,599.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,220.0,220.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,330.0,330.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,1099.0,1099.0,,,1 Unit,,,False,,,,,,0.0
,,,,Cleaning Tools,cleaning,1499.0,1499.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,1209.0,1209.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,1399.0,1399.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,80.0,80.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,249.0,249.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,399.0,399.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,1199.0,1199.0,,,1 Unit,,,False,,,,,,0.0
,,,,Cleaning Tools,cleaner,5950.0,5950.0,,,,,,False,,,,,,0.0
,,,,Cleaning Tools,cleaner,3690.0,3690.0,,,1 Unit,,,False,,,,,,0.0
,,,,Cleaning Tools,cleaner,2999.0,2999.0,,,1 Unit,,,False,,,,,,0.0
,,,,Cleaning Tools,cleaner,5790.0,5790.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,4695.0,4695.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,4295.0,4295.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,2995.0,2995.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,4050.0,4050.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,3375.0,3375.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,4999.0,4999.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,5495.0,5495.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,3800.0,3800.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,2100.0,2100.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,1495.0,1495.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,5300.0,5300.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,345.0,345.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,6700.0,6700.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,2500.0,2500.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,1295.0,1295.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,999.0,999.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,6700.0,6700.0,,,1 Unit,,,False,,,,,,0.0
,,,,Health & Wellness,health,5995.0,5995.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,3995.0,3995.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,4295.0,4295.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,2590.0,2590.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,2600.0,2600.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,3645.0,3645.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,925.0,925.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,1795.0,1795.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,2225.0,2225.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,5000.0,5000.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,4000.0,4000.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,4100.0,4100.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,8990.0,8990.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,7590.0,7590.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,4399.0,4399.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,6995.0,6995.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,3429.0,3429.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,5695.0,5695.0,,,,,,False,,,,,,0.0
