Title,Category,Subcategory,MRP,DMart Price,Discount,Quantity,Unit Price,Product URL,Is DMart Exclusive
Lotus Whiteglow 3 In 1 Deep Cleansing Whitening Facial Foam : 100 gms,Uncategorized,,285.0,285.0,100.0,100 g,1.85,./personalcarebeauty_files/NOV140003463xx8NOV21_5_P.jpg,False
Lotus Herbals Teatreewash Tea & Cinnamon Face Wash : 120 gms,Uncategorized,,235.0,235.0,78.0,120 g,1.31,./personalcarebeauty_files/JUN140003459xx24JUN22_5_P.jpg,False
The Face Shop Rice Water Bright Foaming Cleanser Combo : 2 Unit,Uncategorized,,370.0,370.0,167.0,,101.5,./personalcarebeauty_files/DEC140005369xx27DEC23_5_P.jpg,False
Dot & Key Barrier Repair + Hydrating Gentle Face Wash : 100 ml,Uncategorized,,249.0,249.0,75.0,100 ml,1.74,./personalcarebeauty_files/OCT140005250xx12OCT23_5_P.jpg,False
Neutrogena Oil-Free Acne Wash - Pink Grapefruit : 175 ml,Lighting & Electrical,pin,855.0,855.0,171.0,175 ml,3.91,./personalcarebeauty_files/APR140004137xx26APR22_5_P.jpg,False
VLCC Serum Face Wash Vitamin C Serum & Mulberry : 100 ml,Uncategorized,,165.0,165.0,83.0,100 ml,0.82,./personalcarebeauty_files/FEB140005461xx13FEB23_5_P.jpg,False
mCaffeine Green Tea Face Wash Vitamin C : 110 ml,Uncategorized,,299.0,299.0,150.0,110 ml,1.35,./personalcarebeauty_files/MAY140004851xx3MAY23_5_P.jpg,False
Dot & Key Cica Calming Blemish Clearing Face Wash : 100 ml,Uncategorized,,249.0,249.0,50.0,100 ml,1.99,./personalcarebeauty_files/OCT140005240xx12OCT23_5_P.jpg,False
Soulflower Kumkumadi Face Wash : 100 ml,Uncategorized,,350.0,350.0,175.0,100 ml,1.75,./personalcarebeauty_files/MAR140004245xx31MAR23_5_P.jpg,False
Nivea Men Oil Control Facewash : 100 gms,Clothing,men,249.0,249.0,50.0,100 g,1.99,./personalcarebeauty_files/IFaceWash100gNVA1761xx050521_5_P.jpg,False
Lakme Blush & Glow Strawberry Freshness Gel Facewash : 100 gms,Uncategorized,,269.0,269.0,114.0,100 g,1.55,./personalcarebeauty_files/SEP140001126xx10SEP24_5_P.jpg,False
Simple Moisturising Facial Wash : 150 ml,Uncategorized,,385.0,385.0,26.0,150 ml,2.39,./personalcarebeauty_files/FEB140004552xx22FEB23_5_P.jpg,False
Clean & Clear Foaming Facewash : 100 ml,Uncategorized,,180.0,180.0,11.0,100 ml,1.69,./personalcarebeauty_files/MAY140000372xx26MAY22_5_P.jpg,False
Mamaearth Tea Tree Face Wash For Acne & Pimples : 100 ml,Uncategorized,,269.0,269.0,33.0,100 ml,2.36,./personalcarebeauty_files/JUN140003499xx29JUN22_5_P.jpg,False
