name,category,subcategory,price,unit
Pitambari Shining Powder : 200 g,,,60.0,200 g
Mr Muscle Kitchen Cleaner : 450 ml,Cleaners,cleaner,175.0,450 ml
Harpic Drain Xpert Powder : 50 gms,,,30.0,50 g
Sparkle Disinfectant Glass Cleaner Refill : 1 Litre,Cleaners,cleaner,140.0,
Scale Out Washing Machine Cleaner Powder : 100 gms,Cleaners,cleaner,80.0,100 g
Pidilite WD-40 Multiple Maintenance Spray : 170 gms,,,260.0,170 g
Sabena Scouring Powder: 450 gms,,,15.0,450 g
Pidilite WD-40 Multiple Maintenance Spray: 63.8 gms,,,135.0,8 g
Jaldi Shines Copper & Brass Shining Powder : 200 gms,,,60.0,200 g
Jaldi Cleaning Powder : 900 gms,,,30.0,900 g
Sparkle Disinfectant Glass Cleaner : 500 ml,Cleaners,cleaner,90.0,500 ml
Pril Lime Dishwash Liquid : 2 Litres,,,475.0,
BECO Natural Dishwash Liquid : 750 ml,,,199.0,750 ml
Pril Perfect Tamarind Dishwash Liquid : 750 ml,,,209.0,750 ml
Vim Cooling Freshnes Mint Liquid Dishwash : 2 L,,,480.0,
Exo Ant Bacterial Round Dish Wash Bar : 2x700 gms,,,172.0,700 g
Vim Anti Bacteria Dishwash Bar Multipack - 4x190 g : 1 Unit,,,130.0,190 g
Patanjali Super Dishwash Bar : 145 gms,,,10.0,145 g
Pril Dishwash Bar : 3x360 gms,,,132.0,360 g
Pril Lime + Vinegar Dis Bar : 3x200 gms,,,69.0,200 g
Scotch Brite Scrub Sponge Large : 3 Units,,,105.0,
Scotch Brite Scrub Pad : 5 Units,,,75.0,
Reflect Scrub Pads - 7.5x10 cm : 5 Units,,,70.0,
Scotch Brite Sponge Wipe : 3 Units,,,230.0,
Reflect Sponge Wipes - 20 x 17.5 cm : 3 Units,,,149.0,
Reflect Sponge Wipe - 20x17.5 cm : 5 Units,,,220.0,
Gala Swash Stain Steel Scourer : 1 Unit,,,40.0,
Reflect Stainless Steel Scrub : 1 Unit,,,20.0,
Reflect Stainless Steel + Scrub Pad : 1 Unit,,,30.0,
Scotch-Brite Scrub Pad 9.5x14 cm : 3 Units,,,95.0,
Gala Scrub Pad : 5 Units,,,85.0,
Gala Super Scrub : 2 Units,,,85.0,
Scotch Brite Steel Scrubber : 3 Units,,,150.0,
Scotch-Brite Jet Scrubber : 1 Unit,,,160.0,
Force 10 Handle Scrubber : 1 Unit,,,135.0,
Gala Super Scrub : 1 Unit,,,45.0,
Scotch-Brite Scrub Sponge 9.5x6 cm : 2 Unit,,,40.0,
Reflect Sponge Scrub - 10 x 7 cm : 2 Units,,,50.0,
Scotch-Brite Super Strong Scrub Pad - 7x10 cm : 1 Unit,,,40.0,
Reflect Kitchen Sponge Scrubber - Set of 2 : 1 Unit,,,40.0,
Scotch Brite Kitchen Sink Brush : 1 Unit,,,160.0,
Scotch-Brite Scrub Sponge 6x9.5 cm : 1 Unit,,,20.0,
Gala Scrub Sponge Utensil Cleaner : 1 Unit,Cleaners,cleaner,35.0,
Scotch Brite Steel Scrub : 1 Unit,,,50.0,
Scotch-Brite Scrub Net Sponge : 2 Units,,,90.0,
Gala Iron Bull Scrub Pad : 1 Unit,,,155.0,
Scotch Brite Antibacterial Scrub Pad : 3 Units,,,55.0,
Scotch-Brite Non-Scratch Scrub Sponge : 1 Unit,,,50.0,
Gala Nonstik Care Scrub Sponge : 1 Unit,,,49.0,
Scotch-Brite Super Strong Scrub Pad : 2 Units,,,95.0,
Sabena Scouring Powder : 900 gms,,,30.0,900 g
Odonil Air Freshener Multi Piece Pack : 4x72 gms,Freshener & Repellents,freshener,310.0,72 g
Odonil 3 Powerful Fragrances Zipper : 3X10 gms,,,175.0,30 g
Godrej Aer Matic Automatic Air Freshener - Violet Valley Bloom : 1 Unit,Freshener & Repellents,freshener,625.0,
Mangalam Campure Camphor Cone - Original : 60 gms,,,199.0,60 g
Mangalam Campure Camphor Cone - Sandalwood : 60 gms,,,199.0,60 g
Mangalam Campure Camphor Cone - Lavender : 60 gms,,,199.0,60 g
Everfresh Round Sanicubes Air Freshener : 200 gms,Freshener & Repellents,freshener,109.0,200 g
Godrej Aer Matic Automatic Air Freshener Kit - Cool Surf Blue : 1 Unit,Freshener & Repellents,freshener,625.0,
Odonil Spray On Lavender Breeze : 220 ml,,,169.0,220 ml
Meadows Air Freshener Lavender Blossom : 240 ml,Freshener & Repellents,freshener,155.0,240 ml
Odonil Nature Rose Garden Room Freshener Spray : 220 ml,Freshener & Repellents,freshener,169.0,220 ml
Meadows Rose Wonder Air Freshener : 240 ml,Freshener & Repellents,freshener,155.0,240 ml
Godrej Aer Morning Spray : 220 ml,,,99.0,220 ml
Odonil Joyful Lavender Air Freshener Zipper : 10 gms,Freshener & Repellents,freshener,60.0,10 g
Godrej Aer O Car Fragrance - Cool Aqua : 7.5 gm,,,99.0,5 g
Godrej Aer Bathroom Fragrance Sea Breeze Pocket : 10 gms,,,65.0,10 g
Meadows Air Freshener Jasmine Glow : 240 ml,Freshener & Repellents,freshener,155.0,240 ml
Godrej Aer Bathroom Fragrance Berry Rush Pocket : 10 gms,,,65.0,10 g
Godrej Aer Bathroom Fragrance Lavender Bloom Pocket : 10 gms,,,65.0,10 g
Meadows Air Freshener Lavender Blossom : 10 gms,Freshener & Repellents,freshener,52.0,10 g
Odonil Soulful Jasmine Air Freshener : 10 gms,Freshener & Repellents,freshener,60.0,10 g
Ambi Pur Lavender Bouquet Air Freshener Spray: 275 ml,Freshener & Repellents,freshener,299.0,275 ml
Godrej Aer Bathroom Fragrance Fresh Blossom Pocket : 10 gms,,,65.0,10 g
Meadows Air Freshener Citrus Fresh : 240 ml,Freshener & Repellents,freshener,155.0,240 ml
Godrej Aer O Car Fragrance - Rose Blossom : 7.5 gm,,,99.0,5 g
Odonil Nature Sandal Bouquet Spray : 220 ml,,,169.0,220 ml
Absorbia Moisture Absorber Classic : 300 gms,,,189.0,300 g
Godrej Aer Power Pocket Floral Delight : 10 gms,,,60.0,10 g
Godrej Aer Twist Cool Car Fragrance : 45 gms,,,425.0,45 g
Odonil Lavender Meadows Air Freshener Block : 48 gms,Freshener & Repellents,freshener,58.0,48 g
Glade Touch & Fresh Lavender Room Freshener Refill : 12 ml,Freshener & Repellents,freshener,109.0,12 ml
Absorbia Moisture Absorber Closet Pouch : 400 gms,,,219.0,400 g
Absorbia Moisture Absorber Charcoal : 300 gms,,,199.0,300 g
Absorbia Moisture Absorber Sachet : 100 gms,,,110.0,100 g
Odonil Air Freshener Jasmine Mist : 48 gms,Freshener & Repellents,freshener,58.0,48 g
Ambi Pur Room Fresh Gel - Relax & Unwind : 180 gms,,,299.0,180 g
Iris Reed Diffuser - Lemon Grass : 1 Unit,,,600.0,
Iris Reed Diffuser - Lavender : 1 Unit,,,600.0,
Odonil Lavender Mist Room Freshener : 314 gms,Freshener & Repellents,freshener,500.0,314 g
Pan Aromas Car Scent Reed Diffuser - Fresh Berries : 8 ml,,,150.0,
Ambi Pur Car Fresh Gel Romantic Rose : 75 gms,,,349.0,75 g
Lia Citric Tango Air Freshener Car Gel : 45 gms,Freshener & Repellents,freshener,399.0,45 g
Lia Aqua Dream Serene Air Freshener Car Gel : 45 gms,Freshener & Repellents,freshener,399.0,45 g
Glade Touch & Fresh Lemon Air Freshener Refill : 12 ml,Freshener & Repellents,freshener,109.0,12 ml
Lia Seashore Harmony Air Freshener Car Gel : 45 gms,Freshener & Repellents,freshener,399.0,45 g
Lia Alpine Valley Air Freshener Car Gel : 45 gms,Freshener & Repellents,freshener,399.0,45 g
Glade Wild Lavender Air Freshener : 300 ml,Freshener & Repellents,freshener,169.0,300 ml
Hit Spray Mosquitoes and Flies : 625 ml,,,325.0,625 ml
Hit Anti-Roach Gel : 20 gms,,,199.0,20 g
Good Knight Gold Flash (1 Machine + 2 Refills x 45 ml) : 1 Unit,,,175.0,
All Out Ultra Day & Night Protection - Refill : 2x45 ml,,,155.0,45 ml
Good Knight Gold Flash Liquid Vapouriser Lavender : 2x45 ml,,,155.0,45 ml
D Homes Rechargeable Mosquito Racket With Torch : 1 Unit,,,370.0,
All Out 1 Machine + 2 Refills : 45 ml,,,180.0,45 ml
Godrej HIT Anti Mosquito Racquet : 1 Unit,,,600.0,
All Out Ultra Power + Refill : 4x45 ml,,,310.0,45 ml
Good Knight Gold Flash : 45 ml,,,80.0,45 ml
All Out Floral Fragrance Power Refill : 2x45 ml,,,155.0,45 ml
Odomos Naturals Non-Sticky Mosquito Repellent Cream : 100 gms,Freshener & Repellents,repellent,120.0,100 g
Maxo Genius Calming Aroma : 2x45 ml,,,125.0,45 ml
Baygon Cockroach Killer Spray : 625 ml,,,340.0,625 ml
All Out Ultra Machine + Refill : 45 ml,,,105.0,45 ml
Baygon Mosquito & Fly Killer  Spray : 625 ml,,,340.0,625 ml
All Out Anti Dengue Coil : 10 Pieces,,,40.0,
Baygon Max Mosquito & Fly Killer : 400 ml,,,225.0,400 ml
Rechargeable Mosquito Racket : 1 Unit,,,310.0,
Nippo Rechargeable Mosquito Bat : 1 Unit,,,699.0,
Nippo Guard Rechargeable Mosquito Swatter Bat - Blue : 1 Unit,,,599.0,
Foldable Mosquito Net : Double Bed : 1 Unit,,,810.0,
Elegant Weavers Loops Mat (Blue) - 38x58 cm : 1 Unit,,,250.0,
Elegant Weavers Primier Rug Doormat (Brown & Beige) - 40x60 cm : 1 Unit,,,245.0,
Elegant Weavers Loops Mat (Brown) - 38x58 cm : 1 Unit,,,250.0,
Elegant Weavers Heavy Doormat (Green) - 35x60 cm : 1 Unit,,,180.0,
Elegant Weavers Rangoli Round Mat - Multi Colour : 60x60 cm,,,699.0,
Elegant Weavers Eden Oval Mat - 33x53 cm (Assorted) Pack of 3 : 1 Unit,,,210.0,
Elegant Weavers Innova Rug Doormat (Black & Red) - 40x60 cm : 1 Unit,,,245.0,
Elegant Weavers Innova Rug Doormat (Brown & Beige) - 40x60 cm : 1 Unit,,,245.0,
Elegant Weavers Fort Door Mat - Grey : 38x58 cm,,,179.0,
Athom Living Contemporary Door Mat (01) - 37 X 57cm : Blue,,,599.0,
