name,category,subcategory,price,unit,image,status,stock_count
Sona Masoori Premium Kurnool Rice (Biyyam) : 10 kgs,Rice & Rice Products,rice,1000.0,10 kg,/api/placeholder/200/200,active,100
Sona Masoori Kurnool Rice (Biyyam) : 5 kgs,Rice & Rice Products,rice,450.0,5 kg,/api/placeholder/200/200,active,100
Sona Raw Rice : 26 kgs,Rice & Rice Products,rice,1820.0,26 kg,/api/placeholder/200/200,active,100
Sona Masoori Kurnool Rice (Biyyam) : 10 kgs,Rice & Rice Products,rice,900.0,10 kg,/api/placeholder/200/200,active,100
Sona Masoori Premium Kurnool Rice (Biyyam) : 5 kgs,Rice & Rice Products,rice,500.0,5 kg,/api/placeholder/200/200,active,100
VSR Sona Masuri Rice : 5 kgs,Rice & Rice Products,rice,470.0,5 kg,/api/placeholder/200/200,active,100
VSR Sona Masuri Rice : 10 kgs,Rice & Rice Products,rice,930.0,10 kg,/api/placeholder/200/200,active,100
Daawat Rozana Super Basmati Rice (Biyyam) : 5 kgs,Rice & Rice Products,rice,495.0,5 kg,/api/placeholder/200/200,active,100
Daawat Devaaya Basmati Rice (Biyyam) : 5 kgs,Rice & Rice Products,rice,845.0,5 kg,/api/placeholder/200/200,active,100
India Gate Basmati Rice - Feast Rozzana (Biyyam) : 1 kg,Rice & Rice Products,rice,118.0,1 kg,/api/placeholder/200/200,active,100
Daawat Super Basmati Rice (Biyyam) : 1 kg,Rice & Rice Products,rice,200.0,1 kg,/api/placeholder/200/200,active,100
Daawat Rozana Basmati Rice - Gold (Biyyam) : 5 kgs,Rice & Rice Products,rice,600.0,5 kg,/api/placeholder/200/200,active,100
India Gate Basmati Rice - Classic (Biyyam) : 5 kgs,Rice & Rice Products,rice,1255.0,5 kg,/api/placeholder/200/200,active,100
Daawat Pulav Basmati Rice (Biyyam) : 1 kg,Rice & Rice Products,rice,177.0,1 kg,/api/placeholder/200/200,active,100
Daawat Traditional Basmati Rice (Biyyam) : 1 kg,Rice & Rice Products,rice,250.0,1 kg,/api/placeholder/200/200,active,100
Kohinoor Super Value Basmati Rice (Biyyam) : 1 kg,Rice & Rice Products,rice,199.0,1 kg,/api/placeholder/200/200,active,100
Devaaya Biryani Basmati Rice (Biyyam) : 1 kg,Rice & Rice Products,rice,250.0,1 kg,/api/placeholder/200/200,active,100
Brown Rice (Biyyam) : 5 kgs,Rice & Rice Products,rice,450.0,5 kg,/api/placeholder/200/200,active,100
Pansari Royal Basmati Rice : 1 kg,Rice & Rice Products,rice,230.0,1 kg,/api/placeholder/200/200,active,100
24 Mantra Organic Sonamasuri Brown Rice (Biyyam) : 1 kg,Rice & Rice Products,rice,125.0,1 kg,/api/placeholder/200/200,active,100
DMart Premia Red Rice (Biyyam) : 1 kg,DMart Grocery,dmart,87.0,1 kg,/api/placeholder/200/200,active,100
Gajanan Silver GB JSR Premium Rice : 26 kgs,Rice & Rice Products,rice,2210.0,26 kg,/api/placeholder/200/200,active,100
Parry's Sona Masoori Steam Rice Deluxe : 10 kg,Rice & Rice Products,rice,960.0,10 kg,/api/placeholder/200/200,active,100
Parry's Sona Masoori Steam Rice Deluxe : 5 kg,Rice & Rice Products,rice,480.0,5 kg,/api/placeholder/200/200,active,100
Parry's HMT Rice Deluxe : 5 kg,Rice & Rice Products,rice,480.0,5 kg,/api/placeholder/200/200,active,100
Parry's HMT Rice Deluxe : 10 kg,Rice & Rice Products,rice,960.0,10 kg,/api/placeholder/200/200,active,100
VSR Kurnool Rice : 10 kgs,Rice & Rice Products,rice,950.0,10 kg,/api/placeholder/200/200,active,100
