productId,name,description,price,mrp,quantity,category,subcategory,brand,imageUrl,isAvailable,createdAt,updatedAt
P5722,Sofit Chocolate Soy Beverage,Sofit Chocolate Soy Beverage,106,0,1 l,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.840681Z,2025-01-11T10:51:47.840681Z
P5280,Sofit Natural Soy Beverage - Pack of 2,Sofit Natural Soy Beverage - Pack of 2,193,222,475 g + 500 ml,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.840681Z,2025-01-11T10:51:47.840681Z
P5235,"Kellogg's Multigrain Chocos Crunchy Bites, Kids Cereal + Amul Taaza Toned Fresh Milk Combo","Kellogg's Multigrain Chocos Crunchy Bites, Kids Cereal + Amul Taaza Toned Fresh Milk Combo",183,232,250 g + 500 ml,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.840681Z,2025-01-11T10:51:47.840681Z
P2775,Nutty Yogi Organic Cold Pressed Coconut Milk,Nutty Yogi Organic Cold Pressed Coconut Milk,144,155,1 unit,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.841681Z,2025-01-11T10:51:47.841681Z
P2492,Amul Lactose Free Milk,Amul Lactose Free Milk,144,155,1 unit,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.841681Z,2025-01-11T10:51:47.841681Z
P2115,Yakult Light Probiotic Health Drink,Yakult Light Probiotic Health Drink,282,310,1 unit,Health & Beauty,Medicines,Zandu,/api/placeholder/200/200,true,2025-01-11T10:51:47.841681Z,2025-01-11T10:51:47.841681Z
P3585,Sorrentina Honestly Italian Black Truffle Chips,Sorrentina Honestly Italian Black Truffle Chips,181,232,500 ml + 375 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.841681Z,2025-01-11T10:51:47.841681Z
P8888,Lay's India's Magic Masala Potato Chips (40 g),Lay's India's Magic Masala Potato Chips (40 g),399,0,400 ml,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.842681Z,2025-01-11T10:51:47.842681Z
P5964,Uncle Chipps Spicy Treat Flavour Potato Chips,Uncle Chipps Spicy Treat Flavour Potato Chips,25,0,250 ml,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.842681Z,2025-01-11T10:51:47.842681Z
P8655,Lay's American Style Cream & Onion Potato Chips,Lay's American Style Cream & Onion Potato Chips,100,0,5 x 65 ml,Grocery & Food,Fresh Fruits,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.842681Z,2025-01-11T10:51:47.842681Z
P8965,Kurkure Masala Munch Crisps - Pack of 3,Kurkure Masala Munch Crisps - Pack of 3,69,99,45 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.842681Z,2025-01-11T10:51:47.842681Z
P9313,Lay's West Indies Hot n Sweet Chilli Flavour Potato Chips,Lay's West Indies Hot n Sweet Chilli Flavour Potato Chips,20,0,40 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.843680Z,2025-01-11T10:51:47.843680Z
P8891,Lay's Chile Limon Flavour Potato Chips,Lay's Chile Limon Flavour Potato Chips,20,0,50 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.843680Z,2025-01-11T10:51:47.843680Z
P8522,Uncle Chipps Plain Salted Potato Chips,Uncle Chipps Plain Salted Potato Chips,20,0,40 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.843680Z,2025-01-11T10:51:47.843680Z
P4845,Lay's Crispz Herb & Onion Potato Chips,Lay's Crispz Herb & Onion Potato Chips,54,60,1 unit,Grocery & Food,Fresh Fruits,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.844682Z,2025-01-11T10:51:47.844682Z
P2278,Lay's Classic Salted Potato Chips,Lay's Classic Salted Potato Chips,20,0,48 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.844682Z,2025-01-11T10:51:47.844682Z
P4301,Lay's Spanish Tomato Tango Potato Chips,Lay's Spanish Tomato Tango Potato Chips,20,0,40 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.844682Z,2025-01-11T10:51:47.844682Z
P5631,Kurkure Chilli Chatka Crisps - Pack of 3,Kurkure Chilli Chatka Crisps - Pack of 3,40,50,1 unit,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.844682Z,2025-01-11T10:51:47.844682Z
P3170,Kurkure Puffcorn Yummy Cheese Puffs - Pack of 3,Kurkure Puffcorn Yummy Cheese Puffs - Pack of 3,20,0,47 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.845681Z,2025-01-11T10:51:47.845681Z
P3039,Haldiram's Pudina Treat Chips,Haldiram's Pudina Treat Chips,20,0,40 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.845681Z,2025-01-11T10:51:47.845681Z
P6450,Haldiram's Classic Salted Chips,Haldiram's Classic Salted Chips,20,0,40 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.845681Z,2025-01-11T10:51:47.845681Z
P8647,Lay's Sizzling Hot Potato Chips - Pack of 3,Lay's Sizzling Hot Potato Chips - Pack of 3,54,60,1 unit,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.845681Z,2025-01-11T10:51:47.845681Z
P2555,Beyond Snack Kerala Original Style Banana Chips - Pack of 2,Beyond Snack Kerala Original Style Banana Chips - Pack of 2,54,60,1 unit,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.846680Z,2025-01-11T10:51:47.846680Z
P8575,Lay's India's Magic Masala Potato Chips - Pack of 2,Lay's India's Magic Masala Potato Chips - Pack of 2,25,0,55 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.846680Z,2025-01-11T10:51:47.846680Z
P6661,Haldiram's Takatak Chatpata Masala Stick,Haldiram's Takatak Chatpata Masala Stick,25,0,55 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.846680Z,2025-01-11T10:51:47.846680Z
P9010,Lay's Wafer Style - Sundried Chilli Potato Chips,Lay's Wafer Style - Sundried Chilli Potato Chips,54,60,1 unit,Grocery & Food,Almonds,Happilo,/api/placeholder/200/200,true,2025-01-11T10:51:47.846680Z,2025-01-11T10:51:47.846680Z
P4566,Natkhat Classic Wheat Puff Crisps,Natkhat Classic Wheat Puff Crisps,103,120,1 unit,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.847680Z,2025-01-11T10:51:47.847680Z
P6793,Lay's Wafer Style - Salt with Pepper Potato Chips,Lay's Wafer Style - Salt with Pepper Potato Chips,80,100,1 unit,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.847680Z,2025-01-11T10:51:47.847680Z
P4698,Kurkure Green Chutney Crisps,Kurkure Green Chutney Crisps,25,0,105 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.847680Z,2025-01-11T10:51:47.847680Z
P7600,Lay's Maxx Macho Chilli Potato Chips,Lay's Maxx Macho Chilli Potato Chips,20,0,1 unit,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.847680Z,2025-01-11T10:51:47.847680Z
P2595,Uncle Chipps Spicy Treat Potato Chips,Uncle Chipps Spicy Treat Potato Chips,40,60,1 unit,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.848682Z,2025-01-11T10:51:47.848682Z
P3069,Haldiram's Snac Lite Fun Fingers Lightly Spiced Namkeen,Haldiram's Snac Lite Fun Fingers Lightly Spiced Namkeen,20,0,1 unit,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.848682Z,2025-01-11T10:51:47.848682Z
P1762,Haldiram's Snac Lite Fun Wheels Spicy Masala Namkeen,Haldiram's Snac Lite Fun Wheels Spicy Masala Namkeen,20,0,1 unit,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.848682Z,2025-01-11T10:51:47.848682Z
P6702,Bingo Tedhe Medhe Masala Tadka Crisps - Pack of 3,Bingo Tedhe Medhe Masala Tadka Crisps - Pack of 3,27,30,1 unit,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.848682Z,2025-01-11T10:51:47.848682Z
